USER1_ID	USER2_ID	PENDING	IGNORE
1	24	0	0
1	39	1	1
1	46	0	0
1	60	0	0
1	62	0	0
1	65	0	1
1	84	0	0
1	87	1	1
2	1	0	0
2	16	0	0
2	18	0	0
2	31	0	0
2	32	1	1
2	48	0	0
2	51	0	0
2	53	0	0
2	62	0	1
2	74	0	0
2	88	1	0
2	98	0	0
7	9	0	0
3	37	0	1
3	46	0	0
3	47	1	1
3	51	1	1
3	62	0	0
3	94	0	0
3	99	0	1
5	7	0	0
5	10	0	1
5	13	1	1
5	24	1	1
5	27	0	1
5	39	0	0
5	46	0	0
5	48	1	1
5	86	0	0
5	87	0	1
6	12	0	0
6	40	0	0
6	46	0	0
6	90	0	0
7	5	0	0
7	71	0	0
8	13	0	0
8	34	0	0
8	54	1	0
8	63	0	0
8	72	0	1
8	80	0	0
8	98	0	0
9	10	0	0
9	21	0	0
9	35	1	1
9	51	0	0
9	52	1	0
10	5	0	1
10	9	0	0
10	16	1	0
10	30	0	0
10	41	1	1
10	53	1	1
10	81	0	0
10	84	1	1
10	86	0	0
11	41	0	0
11	49	0	1
11	53	0	0
11	72	0	0
11	83	0	0
11	85	0	0
11	94	0	0
12	6	0	0
12	41	0	0
12	51	0	0
12	84	0	0
12	96	0	0
12	99	0	0
13	5	1	1
13	8	0	0
13	81	0	0
13	92	1	1
14	23	0	0
14	59	1	0
14	63	0	0
14	74	1	0
15	25	0	0
15	31	0	0
15	34	1	1
15	41	0	0
15	46	0	0
16	2	1	1
16	10	0	0
16	20	0	0
16	51	1	1
16	54	1	1
16	62	0	0
16	70	0	0
16	71	0	0
16	96	1	1
16	100	0	0
17	38	0	1
17	41	0	0
17	46	0	0
17	51	0	0
17	56	0	0
18	2	0	1
18	74	0	0
18	97	0	0
19	23	0	0
19	33	0	0
19	49	1	1
19	88	0	0
19	97	0	0
20	16	1	1
20	23	0	0
20	51	1	1
107	10	0	0
108	10	0	0
107	108	0	0
21	34	1	0
21	44	1	1
21	80	0	0
21	83	0	0
21	86	0	0
21	90	0	0
22	47	0	0
22	54	0	0
23	14	0	0
23	19	1	1
23	20	1	0
23	21	0	0
23	26	0	1
23	30	0	0
23	53	0	0
23	78	0	0
23	81	0	0
24	1	1	1
24	5	0	0
24	34	0	0
24	91	0	0
24	94	0	0
25	15	1	1
25	51	0	0
25	69	0	0
25	92	1	0
26	23	1	1
26	92	0	0
27	5	0	0
27	61	0	0
28	96	0	0
28	98	0	0
29	40	0	0
29	54	1	0
30	10	0	0
30	23	0	0
30	53	0	0
30	63	0	0
30	70	0	0
30	80	1	0
30	88	0	0
31	2	0	0
31	15	0	0
32	2	1	0
32	69	1	1
32	80	0	0
33	19	1	1
33	38	0	0
33	39	1	1
33	41	0	0
33	58	0	0
33	73	0	1
33	99	0	0
34	8	0	0
34	15	1	0
34	21	1	0
34	24	0	0
34	45	0	0
34	48	0	1
34	53	0	0
34	95	0	0
34	96	0	0
34	97	0	1
35	9	0	0
35	57	0	0
35	60	1	1
35	61	0	0
35	99	1	0
36	48	1	1
36	62	0	0
37	3	0	0
37	69	0	0
37	86	1	1
37	87	1	1
38	17	0	0
38	33	0	0
38	40	0	0
38	41	0	0
38	49	1	1
38	59	0	0
38	81	0	0
39	1	0	1
39	5	1	0
39	33	0	0
40	6	0	0
40	29	0	0
40	38	0	0
40	65	0	0
40	88	0	0
41	1	0	1
41	10	0	0
41	11	1	1
41	12	0	0
41	15	1	1
41	17	1	1
41	33	0	0
41	38	1	1
41	57	0	0
41	76	0	1
41	86	0	0
41	89	1	0
41	96	0	1
41	100	0	0
42	51	1	1
43	51	0	0
43	53	0	0
43	59	0	0
44	21	0	0
44	50	0	0
44	54	0	0
44	63	0	0
44	68	1	0
44	80	0	0
44	87	0	0
44	91	1	0
45	34	0	0
45	83	0	0
45	87	0	0
45	93	0	0
46	1	0	0
46	3	1	1
46	5	0	1
46	6	0	0
46	15	0	0
46	17	1	0
46	48	0	0
46	62	0	0
46	72	0	1
46	83	0	0
47	3	0	0
47	22	0	0
47	47	0	0
47	54	0	0
48	2	0	0
48	5	0	0
48	34	0	0
48	36	0	0
48	46	0	0
48	55	0	0
48	82	0	0
48	87	1	1
48	93	0	0
49	11	0	0
49	19	0	0
49	38	0	0
49	63	0	0
49	87	0	0
49	96	0	0
50	44	0	0
51	2	0	0
51	3	0	1
51	9	0	0
51	12	0	0
51	16	1	1
51	17	1	0
51	20	1	1
51	25	0	0
51	42	0	0
51	43	1	1
51	81	0	0
52	9	0	0
52	74	0	0
52	95	0	0
53	2	0	0
53	10	1	1
53	11	1	0
53	23	0	0
53	30	0	0
53	34	0	0
53	43	1	1
53	59	1	1
53	60	0	0
53	62	0	1
53	73	0	1
53	81	1	0
54	8	0	0
54	16	1	1
54	22	1	1
54	29	0	0
54	44	0	0
54	47	0	1
54	72	0	0
54	84	1	1
54	91	0	0
55	48	0	0
55	60	1	1
56	17	0	0
56	63	1	1
56	67	0	0
56	74	1	1
56	77	0	0
56	82	0	1
57	35	0	0
57	41	1	0
57	76	0	0
57	82	0	1
57	91	0	0
58	33	0	0
58	83	0	0
59	14	0	0
59	20	0	0
59	38	1	0
59	43	0	0
59	53	0	1
59	77	1	0
59	79	1	1
59	92	0	0
60	1	1	1
60	35	0	0
60	53	0	0
60	55	1	1
60	63	0	0
60	86	0	0
60	90	0	0
61	27	1	0
61	35	0	0
61	94	0	1
61	98	0	0
61	100	1	1
62	1	0	0
62	2	1	1
62	3	0	0
62	16	1	0
62	36	0	1
62	46	0	0
62	53	0	0
62	74	0	0
62	83	1	0
62	98	0	1
62	100	0	0
63	8	1	1
63	14	0	0
63	30	1	0
63	44	0	0
63	49	1	1
63	56	0	0
63	60	0	0
63	63	1	1
63	74	1	0
63	92	0	0
63	96	0	0
64	87	1	1
65	1	1	0
65	40	0	0
67	56	0	0
67	69	0	0
67	70	1	1
67	85	1	1
67	86	0	0
67	96	1	1
68	44	0	0
68	96	0	0
69	25	0	0
69	32	0	1
69	37	0	0
69	67	1	1
69	89	1	0
70	16	0	0
70	30	1	1
70	67	0	0
70	94	0	0
71	7	0	0
71	16	0	0
71	79	0	0
72	8	1	1
72	11	1	0
72	46	1	1
72	54	0	0
72	99	1	1
73	33	0	0
73	53	0	0
73	87	1	1
73	100	1	1
74	2	0	1
74	14	0	0
74	18	0	1
74	52	0	0
74	56	0	0
74	62	0	0
74	63	0	0
74	95	0	0
75	93	0	0
76	41	1	0
76	57	0	0
77	56	0	0
77	59	0	0
77	84	1	1
78	23	0	0
78	99	0	1
79	59	0	0
79	71	0	0
80	4	0	0
80	8	0	0
80	21	0	0
80	30	0	1
80	32	0	0
80	44	0	0
80	85	1	0
80	100	0	0
81	10	0	0
81	13	1	1
81	23	0	0
81	38	1	0
81	51	0	0
81	53	0	0
81	90	0	0
82	48	0	0
82	56	0	0
82	57	0	0
82	93	0	0
83	11	0	0
83	21	0	0
83	45	0	0
83	46	0	0
83	58	0	0
83	62	1	1
83	97	0	1
84	1	0	0
84	10	0	0
84	12	0	1
84	54	0	0
84	77	0	0
84	99	0	1
85	11	0	1
85	67	0	0
85	80	1	1
85	87	0	0
86	5	0	1
86	10	0	0
86	21	1	1
86	37	0	0
86	41	1	0
86	60	0	0
86	67	0	0
86	88	0	0
87	1	1	1
87	5	1	1
87	37	1	1
87	44	0	0
87	45	0	0
87	48	0	0
87	49	1	0
87	64	0	0
87	73	0	0
87	85	0	0
87	99	0	0
88	2	1	1
88	19	0	0
88	30	0	0
88	40	0	1
88	86	0	0
88	97	1	1
89	41	0	0
89	69	0	0
90	6	0	0
90	21	0	0
90	60	0	0
90	81	1	0
90	97	0	0
91	24	0	1
91	44	0	0
91	54	0	0
91	57	0	0
92	13	1	1
92	25	0	0
92	26	1	0
92	59	0	0
92	63	1	1
92	100	1	1
93	45	1	1
93	48	0	0
93	75	1	0
93	82	0	1
93	96	0	0
94	3	0	1
94	11	0	0
94	24	1	1
94	61	0	0
94	70	0	0
95	34	1	1
95	52	0	1
95	74	0	0
96	12	0	0
96	16	0	0
96	28	0	1
96	34	1	0
96	41	1	1
96	49	0	1
96	63	0	0
96	67	0	0
96	68	0	0
96	93	1	1
97	18	0	0
97	19	0	0
97	34	0	0
97	83	0	0
97	88	1	1
97	90	0	0
97	97	0	0
97	99	0	1
98	2	1	1
98	8	0	0
98	28	0	0
98	61	0	0
98	62	0	0
98	100	0	0
99	3	0	0
99	12	0	0
99	33	0	0
99	35	0	0
99	72	1	0
99	78	0	0
99	84	0	0
99	87	0	0
99	97	0	0
99	100	1	1
100	2	0	0
100	16	1	1
100	41	0	0
100	61	0	0
100	62	1	0
100	73	0	0
100	80	0	0
100	92	1	0
100	98	0	0
100	99	0	1
1	101	1	0
