USER_ID	OBJECT	OBJECT_ID	ACTION
1	ALBUM	1	Inserted
2	ALBUM	2	Inserted
2	ALBUM	3	Inserted
2	ALBUM	4	Inserted
2	ALBUM	5	Inserted
3	ALBUM	6	Inserted
3	ALBUM	7	Inserted
4	ALBUM	8	Inserted
4	ALBUM	9	Inserted
4	ALBUM	10	Inserted
4	ALBUM	11	Inserted
5	ALBUM	12	Inserted
5	ALBUM	13	Inserted
5	ALBUM	14	Inserted
5	ALBUM	15	Inserted
6	ALBUM	16	Inserted
6	ALBUM	17	Inserted
6	ALBUM	18	Inserted
6	ALBUM	19	Inserted
8	ALBUM	20	Inserted
8	ALBUM	21	Inserted
8	ALBUM	22	Inserted
8	ALBUM	23	Inserted
9	ALBUM	24	Inserted
10	ALBUM	25	Inserted
10	ALBUM	26	Inserted
10	ALBUM	27	Inserted
10	ALBUM	28	Inserted
10	ALBUM	29	Inserted
11	ALBUM	30	Inserted
12	ALBUM	31	Inserted
12	ALBUM	32	Inserted
13	ALBUM	33	Inserted
13	ALBUM	34	Inserted
13	ALBUM	35	Inserted
14	ALBUM	36	Inserted
14	ALBUM	37	Inserted
18	ALBUM	38	Inserted
18	ALBUM	39	Inserted
18	ALBUM	40	Inserted
18	ALBUM	41	Inserted
18	ALBUM	42	Inserted
20	ALBUM	43	Inserted
20	ALBUM	44	Inserted
20	ALBUM	45	Inserted
20	ALBUM	46	Inserted
21	ALBUM	47	Inserted
22	ALBUM	48	Inserted
22	ALBUM	49	Inserted
23	ALBUM	50	Inserted
23	ALBUM	51	Inserted
24	ALBUM	52	Inserted
24	ALBUM	53	Inserted
26	ALBUM	54	Inserted
26	ALBUM	55	Inserted
27	ALBUM	56	Inserted
27	ALBUM	57	Inserted
27	ALBUM	58	Inserted
27	ALBUM	59	Inserted
28	ALBUM	60	Inserted
28	ALBUM	61	Inserted
29	ALBUM	62	Inserted
29	ALBUM	63	Inserted
30	ALBUM	64	Inserted
30	ALBUM	65	Inserted
30	ALBUM	66	Inserted
30	ALBUM	67	Inserted
30	ALBUM	68	Inserted
31	ALBUM	69	Inserted
31	ALBUM	70	Inserted
31	ALBUM	71	Inserted
31	ALBUM	72	Inserted
31	ALBUM	73	Inserted
32	ALBUM	74	Inserted
32	ALBUM	75	Inserted
32	ALBUM	76	Inserted
32	ALBUM	77	Inserted
33	ALBUM	78	Inserted
33	ALBUM	79	Inserted
33	ALBUM	80	Inserted
33	ALBUM	81	Inserted
34	ALBUM	82	Inserted
34	ALBUM	83	Inserted
34	ALBUM	84	Inserted
34	ALBUM	85	Inserted
35	ALBUM	86	Inserted
36	ALBUM	87	Inserted
36	ALBUM	88	Inserted
37	ALBUM	89	Inserted
38	ALBUM	90	Inserted
39	ALBUM	91	Inserted
39	ALBUM	92	Inserted
39	ALBUM	93	Inserted
39	ALBUM	94	Inserted
39	ALBUM	95	Inserted
40	ALBUM	96	Inserted
40	ALBUM	97	Inserted
40	ALBUM	98	Inserted
40	ALBUM	99	Inserted
40	ALBUM	100	Inserted
41	ALBUM	101	Inserted
41	ALBUM	102	Inserted
42	ALBUM	103	Inserted
42	ALBUM	104	Inserted
42	ALBUM	105	Inserted
42	ALBUM	106	Inserted
42	ALBUM	107	Inserted
43	ALBUM	108	Inserted
43	ALBUM	109	Inserted
43	ALBUM	110	Inserted
43	ALBUM	111	Inserted
43	ALBUM	112	Inserted
44	ALBUM	113	Inserted
45	ALBUM	114	Inserted
45	ALBUM	115	Inserted
46	ALBUM	116	Inserted
46	ALBUM	117	Inserted
46	ALBUM	118	Inserted
46	ALBUM	119	Inserted
46	ALBUM	120	Inserted
