USER_ID	LINK	NAME	CAPTION	DESCRIPTION	MESSAGE	PRIVACY
2	www.bookmark1.com	Bookmark10	null	null	null	3
2	www.bookmark2.com	Bookmark10	null	null	null	1
3	www.bookmark3.com	Bookmark5	null	null	null	4
3	www.bookmark4.com	Bookmark3	null	null	null	3
5	www.bookmark5.com	Bookmark13	null	null	null	1
5	www.bookmark6.com	Bookmark2	null	null	null	1
6	www.bookmark7.com	Bookmark3	null	null	null	4
6	www.bookmark8.com	Bookmark15	null	null	null	3
6	www.bookmark9.com	Bookmark7	null	null	null	2
7	www.bookmark10.com	Bookmark11	null	null	null	3
7	www.bookmark11.com	Bookmark2	null	null	null	4
8	www.bookmark12.com	Bookmark6	null	null	null	2
8	www.bookmark13.com	Bookmark3	null	null	null	3
8	www.bookmark14.com	Bookmark4	null	null	null	3
9	www.bookmark15.com	Bookmark9	null	null	null	1
9	www.bookmark16.com	Bookmark13	null	null	null	3
9	www.bookmark17.com	Bookmark7	null	null	null	4
10	www.bookmark18.com	Bookmark13	null	null	null	4
11	www.bookmark19.com	Bookmark9	null	null	null	3
12	www.bookmark20.com	Bookmark12	null	null	null	1
12	www.bookmark21.com	Bookmark12	null	null	null	2
12	www.bookmark22.com	Bookmark2	null	null	null	1
12	www.bookmark23.com	Bookmark6	null	null	null	1
13	www.bookmark24.com	Bookmark4	null	null	null	1
16	www.bookmark25.com	Bookmark7	null	null	null	4
16	www.bookmark26.com	Bookmark11	null	null	null	2
18	www.bookmark27.com	Bookmark15	null	null	null	2
18	www.bookmark28.com	Bookmark9	null	null	null	4
18	www.bookmark29.com	Bookmark8	null	null	null	3
18	www.bookmark30.com	Bookmark11	null	null	null	1
19	www.bookmark31.com	Bookmark7	null	null	null	3
19	www.bookmark32.com	Bookmark6	null	null	null	4
19	www.bookmark33.com	Bookmark15	null	null	null	1
20	www.bookmark34.com	Bookmark4	null	null	null	4
20	www.bookmark35.com	Bookmark14	null	null	null	3
20	www.bookmark36.com	Bookmark4	null	null	null	2
22	www.bookmark37.com	Bookmark7	null	null	null	2
22	www.bookmark38.com	Bookmark15	null	null	null	4
23	www.bookmark39.com	Bookmark12	null	null	null	1
24	www.bookmark40.com	Bookmark14	null	null	null	2
24	www.bookmark41.com	Bookmark12	null	null	null	4
25	www.bookmark42.com	Bookmark10	null	null	null	1
25	www.bookmark43.com	Bookmark4	null	null	null	1
25	www.bookmark44.com	Bookmark14	null	null	null	2
26	www.bookmark45.com	Bookmark1	null	null	null	3
26	www.bookmark46.com	Bookmark6	null	null	null	1
26	www.bookmark47.com	Bookmark8	null	null	null	1
28	www.bookmark48.com	Bookmark7	null	null	null	1
29	www.bookmark49.com	Bookmark13	null	null	null	2
29	www.bookmark50.com	Bookmark14	null	null	null	1
29	www.bookmark51.com	Bookmark4	null	null	null	2
30	www.bookmark52.com	Bookmark11	null	null	null	1
30	www.bookmark53.com	Bookmark4	null	null	null	3
30	www.bookmark54.com	Bookmark10	null	null	null	3
32	www.bookmark55.com	Bookmark12	null	null	null	4
32	www.bookmark56.com	Bookmark8	null	null	null	4
32	www.bookmark57.com	Bookmark3	null	null	null	2
33	www.bookmark58.com	Bookmark2	null	null	null	4
33	www.bookmark59.com	Bookmark6	null	null	null	3
33	www.bookmark60.com	Bookmark8	null	null	null	3
33	www.bookmark61.com	Bookmark11	null	null	null	1
34	www.bookmark62.com	Bookmark6	null	null	null	4
34	www.bookmark63.com	Bookmark2	null	null	null	1
35	www.bookmark64.com	Bookmark2	null	null	null	1
35	www.bookmark65.com	Bookmark15	null	null	null	4
36	www.bookmark66.com	Bookmark2	null	null	null	2
38	www.bookmark67.com	Bookmark2	null	null	null	2
38	www.bookmark68.com	Bookmark6	null	null	null	3
39	www.bookmark69.com	Bookmark6	null	null	null	4
39	www.bookmark70.com	Bookmark4	null	null	null	2
40	www.bookmark71.com	Bookmark13	null	null	null	2
40	www.bookmark72.com	Bookmark2	null	null	null	1
40	www.bookmark73.com	Bookmark3	null	null	null	1
40	www.bookmark74.com	Bookmark14	null	null	null	4
41	www.bookmark75.com	Bookmark14	null	null	null	2
42	www.bookmark76.com	Bookmark10	null	null	null	1
42	www.bookmark77.com	Bookmark6	null	null	null	4
42	www.bookmark78.com	Bookmark9	null	null	null	4
43	www.bookmark79.com	Bookmark7	null	null	null	2
43	www.bookmark80.com	Bookmark15	null	null	null	2
44	www.bookmark81.com	Bookmark1	null	null	null	2
45	www.bookmark82.com	Bookmark1	null	null	null	1
45	www.bookmark83.com	Bookmark4	null	null	null	1
