USER_ID	NAME	DESCRIPTION	LOCATION	LINK	PRIVACY
1	asd	null	1	www.album1.com	1
2	Album9	null	null	www.album2.com	2
2	Album4	null	null	www.album3.com	3
2	Album15	null	null	www.album4.com	1
2	Album14	null	null	www.album5.com	1
3	Album1	null	null	www.album6.com	4
3	Album6	null	null	www.album7.com	4
4	Album5	null	null	www.album8.com	1
4	Album11	null	null	www.album9.com	4
4	Album14	null	null	www.album10.com	4
4	Album1	null	null	www.album11.com	1
5	Album10	null	null	www.album12.com	1
5	Album4	null	null	www.album13.com	1
5	Album10	null	null	www.album14.com	2
5	Album1	null	null	www.album15.com	3
6	Album13	null	null	www.album16.com	1
6	Album3	null	null	www.album17.com	3
6	Album14	null	null	www.album18.com	1
6	Album3	null	null	www.album19.com	2
8	Album8	null	null	www.album20.com	4
8	Album7	null	null	www.album21.com	4
8	Album15	null	null	www.album22.com	3
8	Album13	null	null	www.album23.com	1
9	Album5	null	null	www.album24.com	4
10	Album4	null	null	www.album25.com	1
10	Album12	null	null	www.album26.com	4
10	Album10	null	null	www.album27.com	1
10	Album3	null	null	www.album28.com	2
10	Album15	null	null	www.album29.com	3
11	Album7	null	null	www.album30.com	3
12	Album10	null	null	www.album31.com	4
12	Album13	null	null	www.album32.com	3
13	Album2	null	null	www.album33.com	3
13	Album4	null	null	www.album34.com	1
13	Album4	null	null	www.album35.com	3
14	Album8	null	null	www.album36.com	3
14	Album7	null	null	www.album37.com	3
18	Album4	null	null	www.album38.com	4
18	Album1	null	null	www.album39.com	3
18	Album15	null	null	www.album40.com	1
18	Album9	null	null	www.album41.com	3
18	Album4	null	null	www.album42.com	2
20	Album14	null	null	www.album43.com	3
20	Album1	null	null	www.album44.com	2
20	Album11	null	null	www.album45.com	4
20	Album10	null	null	www.album46.com	3
21	Album13	null	null	www.album47.com	2
22	Album7	null	null	www.album48.com	2
22	Album12	null	null	www.album49.com	1
23	Album4	null	null	www.album50.com	2
23	Album7	null	null	www.album51.com	4
24	Album4	null	null	www.album52.com	1
24	Album3	null	null	www.album53.com	3
26	Album15	null	null	www.album54.com	3
26	Album8	null	null	www.album55.com	1
27	Album12	null	null	www.album56.com	4
27	Album4	null	null	www.album57.com	1
27	Album5	null	null	www.album58.com	2
27	Album11	null	null	www.album59.com	3
28	Album1	null	null	www.album60.com	4
28	Album13	null	null	www.album61.com	2
29	Album5	null	null	www.album62.com	1
29	Album5	null	null	www.album63.com	1
30	Album13	null	null	www.album64.com	2
30	Album10	null	null	www.album65.com	3
30	Album9	null	null	www.album66.com	3
30	Album4	null	null	www.album67.com	2
30	Album8	null	null	www.album68.com	2
31	Album7	null	null	www.album69.com	4
31	Album8	null	null	www.album70.com	4
31	Album9	null	null	www.album71.com	3
31	Album2	null	null	www.album72.com	2
31	Album1	null	null	www.album73.com	3
32	Album5	null	null	www.album74.com	1
32	Album15	null	null	www.album75.com	1
32	Album8	null	null	www.album76.com	1
32	Album6	null	null	www.album77.com	1
33	Album11	null	null	www.album78.com	4
33	Album7	null	null	www.album79.com	1
33	Album14	null	null	www.album80.com	1
33	Album1	null	null	www.album81.com	3
34	Album10	null	null	www.album82.com	3
34	Album6	null	null	www.album83.com	4
34	Album11	null	null	www.album84.com	4
34	Album14	null	null	www.album85.com	1
35	Album12	null	null	www.album86.com	2
36	Album3	null	null	www.album87.com	3
36	Album7	null	null	www.album88.com	1
37	Album7	null	null	www.album89.com	3
