USER_ID	COMMENT	VIDEO_ID
1	Comment2	118
1	Comment11	138
1	Comment8	158
1	Comment11	313
1	Comment14	313
2	Comment1	1
2	Comment15	1
3	Comment6	1
3	Comment5	66
3	Comment14	224
3	Comment12	132
3	Comment5	355
4	Comment14	9
4	Comment15	77
5	Comment11	22
5	Comment11	288
5	Comment12	78
5	Comment3	62
6	Comment1	192
6	Comment14	234
6	Comment3	77
6	Comment15	148
7	Comment12	289
7	Comment8	312
9	Comment8	255
9	Comment11	56
10	Comment1	233
10	Comment1	61
11	Comment10	312
13	Comment6	271
13	Comment7	34
13	Comment14	302
13	Comment6	112
13	Comment15	258
13	Comment5	274
14	Comment7	270
14	Comment8	283
14	Comment6	72
14	Comment5	293
15	Comment1	248
15	Comment10	61
15	Comment5	21
16	Comment9	76
16	Comment7	292
16	Comment12	141
16	Comment1	267
17	Comment7	185
17	Comment3	261
17	Comment15	164
17	Comment9	23
18	Comment14	198
18	Comment10	49
18	Comment6	83
18	Comment8	191
18	Comment6	58
18	Comment1	136
19	Comment11	162
19	Comment5	240
19	Comment2	53
19	Comment13	100
19	Comment2	123
19	Comment11	140
19	Comment14	94
20	Comment14	271
20	Comment5	140
20	Comment11	122
20	Comment5	200
20	Comment6	269
20	Comment13	281
20	Comment10	316
21	Comment15	20
21	Comment15	278
21	Comment13	210
21	Comment15	295
21	Comment10	64
22	Comment1	230
23	Comment2	52
23	Comment4	151
23	Comment1	191
23	Comment5	265
25	Comment3	168
25	Comment10	110
26	Comment2	351
26	Comment4	13
26	Comment9	187
26	Comment5	63
26	Comment3	91
26	Comment2	264
26	Comment13	245
27	Comment13	268
29	Comment3	312
29	Comment14	280
29	Comment8	124
29	Comment12	235
29	Comment11	228
31	Comment10	292
33	Comment15	2
33	Comment4	154
33	Comment14	333
33	Comment2	186
33	Comment4	28
33	Comment14	73
33	Comment8	278
34	Comment2	349
34	Comment8	90
34	Comment12	344
34	Comment1	126
34	Comment2	209
36	Comment8	245
36	Comment9	38
36	Comment9	263
36	Comment15	341
36	Comment9	59
37	Comment2	257
37	Comment6	349
37	Comment12	117
39	Comment4	366
40	Comment7	135
40	Comment14	157
40	Comment10	170
40	Comment14	290
40	Comment15	322
40	Comment9	52
41	Comment14	58
42	Comment1	304
42	Comment5	6
42	Comment8	273
42	Comment6	274
42	Comment14	257
42	Comment8	3
43	Comment12	57
43	Comment15	44
43	Comment10	164
43	Comment10	328
43	Comment3	194
43	Comment15	92
44	Comment15	206
44	Comment13	293
44	Comment1	183
44	Comment2	55
44	Comment9	211
45	Comment4	13
45	Comment7	254
45	Comment12	81
45	Comment8	80
45	Comment7	144
45	Comment4	310
46	Comment11	88
46	Comment6	9
46	Comment4	58
46	Comment5	126
46	Comment9	216
47	Comment15	103
47	Comment12	155
47	Comment15	108
47	Comment6	201
47	Comment2	283
48	Comment1	23
48	Comment2	290
48	Comment1	178
49	Comment6	257
49	Comment6	225
49	Comment13	251
49	Comment5	115
49	Comment5	9
50	Comment3	187
50	Comment6	213
51	Comment7	161
51	Comment13	282
51	Comment7	6
51	Comment14	132
51	Comment11	335
51	Comment7	15
52	Comment2	211
52	Comment5	229
52	Comment6	170
52	Comment10	229
53	Comment15	61
53	Comment5	185
53	Comment7	182
53	Comment10	351
53	Comment4	295
53	Comment14	274
54	Comment7	110
54	Comment2	68
55	Comment5	232
55	Comment2	173
55	Comment2	5
55	Comment15	160
55	Comment8	189
56	Comment10	147
56	Comment12	223
56	Comment6	54
57	Comment10	356
57	Comment10	67
58	Comment13	67
58	Comment11	258
59	Comment2	40
59	Comment7	103
59	Comment9	314
59	Comment11	305
59	Comment4	243
60	Comment3	122
60	Comment10	187
60	Comment15	228
61	Comment10	284
61	Comment7	45
61	Comment7	217
61	Comment7	106
61	Comment6	277
62	Comment7	250
62	Comment13	91
62	Comment5	104
62	Comment10	332
62	Comment1	202
62	Comment10	209
63	Comment5	186
64	Comment1	29
64	Comment3	191
64	Comment6	344
64	Comment12	167
64	Comment15	105
64	Comment1	318
65	Comment1	178
66	Comment1	219
67	Comment5	256
67	Comment8	137
67	Comment5	169
67	Comment6	265
67	Comment2	160
67	Comment5	25
67	Comment2	14
68	Comment7	297
68	Comment11	248
68	Comment5	190
68	Comment14	33
68	Comment13	20
69	Comment5	116
69	Comment14	242
69	Comment3	235
69	Comment12	328
71	Comment10	18
71	Comment8	308
71	Comment3	107
71	Comment2	328
71	Comment10	204
71	Comment1	365
71	Comment5	176
72	Comment10	177
74	Comment14	212
75	Comment7	140
75	Comment15	299
75	Comment7	284
75	Comment12	97
76	Comment7	25
76	Comment7	162
76	Comment4	212
76	Comment7	136
76	Comment2	39
77	Comment2	219
77	Comment12	26
78	Comment15	337
78	Comment8	229
78	Comment9	49
78	Comment6	306
78	Comment9	355
78	Comment3	111
78	Comment11	23
79	Comment8	97
79	Comment1	71
79	Comment7	331
79	Comment4	33
79	Comment12	116
79	Comment12	57
79	Comment5	216
80	Comment5	27
80	Comment1	260
80	Comment9	342
80	Comment3	186
80	Comment2	190
81	Comment3	305
81	Comment7	133
81	Comment9	357
81	Comment13	133
81	Comment15	65
81	Comment13	359
81	Comment8	305
82	Comment3	351
82	Comment2	57
82	Comment6	169
82	Comment6	322
82	Comment13	259
83	Comment11	260
83	Comment11	10
83	Comment3	14
83	Comment8	320
83	Comment10	320
84	Comment9	299
84	Comment3	232
84	Comment10	197
84	Comment3	42
84	Comment2	14
85	Comment7	296
85	Comment15	183
85	Comment11	320
85	Comment10	252
85	Comment3	269
85	Comment7	179
85	Comment13	163
