USER_ID	PHOTO_ID
1	556
4	394
4	556
4	542
5	556
5	410
6	172
6	332
6	19
6	450
6	392
6	474
6	357
6	78
6	240
6	224
6	494
6	174
6	474
6	61
6	308
6	11
6	189
7	371
7	308
7	106
8	317
8	497
8	266
8	45
8	22
8	251
8	166
8	30
8	314
8	445
8	289
8	210
8	437
8	382
9	351
9	350
9	235
9	273
9	339
9	247
9	135
9	322
9	383
9	329
9	69
9	111
9	416
9	543
9	393
9	65
9	422
9	512
10	432
10	124
10	190
10	134
10	447
10	152
10	378
11	336
11	269
11	131
11	431
12	505
12	145
12	164
12	480
12	176
12	222
12	502
12	159
12	65
12	71
12	408
12	330
12	8
12	223
12	298
13	501
13	470
13	275
13	523
13	89
14	88
14	159
14	26
14	18
14	56
14	537
14	421
14	224
14	270
14	394
15	508
15	101
15	132
16	292
16	383
16	456
16	126
16	542
16	530
16	538
16	245
16	321
16	269
16	41
16	478
16	298
16	89
16	385
17	195
17	436
17	522
17	503
17	149
17	66
17	208
17	173
17	421
17	465
17	354
17	270
17	175
17	83
17	358
18	52
18	461
19	325
19	76
19	185
19	391
19	20
19	286
19	277
19	235
19	381
19	228
19	167
19	412
19	125
19	313
19	145
19	172
19	25
19	364
19	393
20	296
20	50
20	451
21	336
21	194
21	267
21	466
21	442
21	436
21	175
22	462
22	361
22	544
22	263
23	299
23	251
23	436
23	387
23	89
23	408
23	138
23	446
24	103
24	82
24	387
24	85
24	177
24	394
24	232
24	324
24	470
24	396
24	429
24	176
24	289
24	448
24	324
24	535
24	524
25	175
25	524
25	24
25	480
25	182
25	327
25	448
25	144
25	378
25	17
25	57
25	258
25	432
25	219
25	506
25	382
25	14
25	405
26	175
26	35
26	165
26	369
26	492
26	90
26	167
26	403
26	320
26	316
26	32
26	421
26	322
26	519
26	137
26	128
26	157
27	392
27	310
27	526
28	198
28	11
28	395
28	363
28	20
28	29
29	1
29	25
30	8
30	249
30	391
30	171
30	484
30	213
30	467
30	16
30	157
30	304
30	136
30	323
30	246
31	168
31	449
31	4
31	14
31	446
31	208
31	383
32	210
32	326
32	294
32	358
32	270
32	70
32	121
32	405
32	117
32	133
32	507
32	283
32	362
32	242
32	158
32	198
32	484
32	202
33	328
33	260
33	508
33	199
33	135
33	222
33	390
33	333
33	400
34	27
34	487
34	125
34	137
34	50
34	59
34	225
34	132
34	350
34	227
34	526
34	536
34	376
35	207
35	248
35	491
35	193
35	182
35	471
35	314
35	353
35	505
35	322
35	37
35	469
35	26
35	315
36	298
36	181
36	132
36	86
36	366
36	440
36	184
36	498
36	532
36	538
36	479
36	142
36	507
36	410
36	13
36	124
36	202
37	139
37	260
37	120
37	110
37	107
37	223
37	49
37	525
37	443
37	245
37	254
37	417
37	33
37	522
37	23
37	398
37	33
37	541
38	170
38	420
38	417
38	502
38	13
38	363
39	135
39	306
39	327
39	512
39	70
39	284
40	546
40	256
40	48
40	512
40	498
40	503
40	393
40	232
40	135
40	179
40	54
40	37
40	102
40	112
41	60
41	389
41	497
41	148
41	119
41	82
41	103
41	160
41	215
41	332
41	479
42	190
42	407
42	431
42	80
42	492
42	324
42	482
42	79
42	353
43	198
43	202
43	399
43	147
43	12
43	472
43	396
43	291
43	208
43	241
43	424
43	440
43	101
43	538
43	521
43	36
43	501
43	189
43	230
44	130
44	348
44	240
44	399
45	325
45	175
45	136
46	339
46	327
46	85
46	193
46	56
46	122
46	20
46	358
46	307
47	33
47	429
47	124
47	55
47	395
47	407
48	55
48	511
48	425
48	282
48	4
48	491
48	517
48	78
48	491
48	339
48	454
48	10
48	235
48	341
49	88
49	100
49	441
49	170
49	114
49	39
49	88
49	99
49	161
49	409
49	331
49	199
49	444
49	179
50	220
50	81
50	125
50	449
50	517
50	75
50	485
50	292
50	116
50	500
50	114
50	312
50	76
50	407
50	104
50	35
51	220
51	313
51	183
51	112
52	426
52	517
52	11
52	483
52	169
52	349
52	506
52	521
53	290
53	478
53	33
53	50
53	490
53	143
53	4
53	38
53	455
53	333
53	541
53	104
54	243
54	145
54	538
55	180
55	410
55	343
55	459
55	472
55	297
55	78
55	134
55	476
55	122
55	339
55	234
55	265
55	254
55	56
55	428
55	353
55	144
56	68
56	371
56	62
56	521
56	177
56	539
56	18
56	37
56	388
56	322
56	305
56	397
56	84
57	253
57	38
57	493
58	127
58	256
58	323
58	436
58	517
58	469
58	233
58	496
58	333
58	50
59	79
59	433
59	327
59	132
59	501
59	327
59	325
59	338
59	388
59	54
59	466
59	385
59	362
60	148
60	536
60	22
60	530
60	498
60	376
60	337
60	86
60	539
60	290
60	317
61	135
61	495
61	414
61	416
62	211
62	72
62	188
62	223
62	508
62	227
62	532
62	178
62	473
62	66
62	328
62	501
63	542
63	60
63	17
63	37
63	463
63	224
63	43
63	146
63	487
63	169
63	308
63	139
63	164
64	433
65	232
65	168
65	121
65	210
65	188
65	532
65	339
65	153
65	279
65	327
65	300
65	274
65	134
65	312
65	476
65	41
66	379
66	478
66	430
66	484
66	261
66	208
66	108
67	328
67	359
67	245
67	89
67	251
67	125
67	55
67	272
67	446
67	473
67	446
67	221
69	285
69	471
69	222
69	445
69	129
69	410
69	98
69	358
69	405
69	317
69	546
69	124
70	485
70	252
70	345
70	191
70	155
70	389
70	269
70	219
70	330
70	68
70	158
70	414
70	202
70	234
71	96
71	528
71	159
71	16
71	515
72	470
72	73
73	85
73	258
73	489
73	115
73	54
74	276
74	292
74	152
74	308
74	43
74	538
75	104
75	287
75	204
75	329
76	77
76	434
76	63
76	290
76	263
76	145
76	56
76	293
77	55
77	491
77	93
78	473
78	171
78	201
78	271
78	334
78	70
78	190
78	385
78	516
78	390
78	258
79	44
80	435
80	68
80	110
80	159
80	231
80	79
80	533
80	334
80	358
80	236
80	178
80	543
80	47
80	468
80	168
81	429
81	37
81	489
81	51
81	503
81	280
81	343
81	442
81	134
81	169
81	36
81	458
81	90
81	11
81	514
81	367
81	41
82	90
82	429
82	150
82	447
82	538
82	487
82	346
82	81
82	266
82	419
83	305
83	158
83	207
83	45
83	251
83	11
83	202
83	438
83	124
83	432
83	395
83	483
83	230
83	528
